price,name,address,ward,line_station,line,station,bus_time,walk_time,area,balcony,floor_plan,age,renovation,reform
1690万円,シティコープ目白,東京都豊島区高田２,豊島区,東京メトロ副都心線「雑司が谷」徒歩5分,東京メトロ副都心線,雑司が谷,0,5,18.07m2（5.46坪）（壁芯）,2.83m2,ワンルーム,1992年8月,1,0
1790万円,山手通りオークレジデンス,東京都板橋区中丸町12-4,板橋区,東京メトロ有楽町線「要町」徒歩12分,東京メトロ有楽町線,要町,0,12,27.99m2（登記）,3m2,1DK,1975年2月,1,0
1880万円,カーサ常盤台,東京都板橋区前野町５,板橋区,都営三田線「志村三丁目」徒歩12分,都営三田線,志村三丁目,0,12,45m2（13.61坪）（壁芯）,5.22m2,2LDK,1970年8月,1,0
1890万円,トーカンマンション大山,東京都板橋区大山東町,板橋区,都営三田線「板橋区役所前」徒歩2分,都営三田線,板橋区役所前,0,2,28.42m2（壁芯）,5.04m2,ワンルーム+S（納戸）,1981年12月,0,1
1980万円,上板橋サンライトマンション,東京都板橋区上板橋２,板橋区,東武東上線「上板橋」徒歩5分,東武東上線,上板橋,0,5,42.49m2,4.9m2,2DK,1972年9月,0,0
1980万円,コーポサンプライズ,東京都板橋区泉町,板橋区,都営三田線「本蓮沼」徒歩1分,都営三田線,本蓮沼,0,1,44.09m2（壁芯）,4m2,1LDK,1976年11月,0,0
2180万円,駒込第三コーポラス,東京都豊島区駒込４,豊島区,ＪＲ山手線「巣鴨」徒歩5分,ＪＲ山手線,巣鴨,0,5,39.96m2,8.72m2,1LDK,1967年9月,0,0
2190万円,大山ローヤルコーポ,東京都板橋区栄町,板橋区,東武東上線「中板橋」徒歩7分,東武東上線,中板橋,0,7,48.6m2（14.70坪）（壁芯）,5.4m2,2LDK,1974年11月,0,1
2390万円,シンメトリー板橋,東京都板橋区板橋４-59-10,板橋区,都営三田線「新板橋」徒歩8分,都営三田線,新板橋,0,8,48.61m2（14.70坪）,4.4m2,1LDK,1989年2月,0,0
2490万円,三田高島平第三コーポ　5階,東京都板橋区西台２,板橋区,都営三田線「西台」徒歩15分,都営三田線,西台,0,15,79.72m2（壁芯）,8m2,2LDK,1974年9月,0,1
2498万円,ライオンズマンション新高島平,東京都板橋区新河岸３,板橋区,都営三田線「新高島平」徒歩11分,都営三田線,新高島平,0,11,55.18m2（壁芯）,6.54m2,2DK+S（納戸）,1991年5月,1,0
2548万円,高島平第三住宅　6階,東京都板橋区高島平３,板橋区,都営三田線「高島平」徒歩5分,都営三田線,高島平,0,5,55.83m2（壁芯）,9.1m2,3DK,1972年7月,0,1
2680万円,秀和志村城山レジデンス,東京都板橋区志村２-14-18,板橋区,都営三田線「志村三丁目」徒歩6分,都営三田線,志村三丁目,0,6,60.5m2（壁芯）,-,3LDK,1970年7月,1,0
2690万円,トーア滝野川マンション,東京都北区滝野川６,北区,都営三田線「西巣鴨」徒歩4分,都営三田線,西巣鴨,0,4,39.6m2（壁芯）,6.32m2,1LDK,1981年12月,0,0
2690万円,ハイネス上板橋,東京都板橋区中台３,板橋区,東武東上線「上板橋」徒歩12分,東武東上線,上板橋,0,12,60.5m2（18.30坪）（壁芯）,6.3m2,2LDK,1975年5月,0,1
2780万円,上板橋ハウス,東京都板橋区上板橋３-1-1,板橋区,東武東上線「上板橋」徒歩1分,東武東上線,上板橋,0,1,59.43m2（壁芯）,2.99m2,2LDK,1971年9月,1,0
2780万円,コーポセピア,東京都板橋区仲町36-3,板橋区,東武東上線「中板橋」徒歩2分,東武東上線,中板橋,0,2,54.78m2（16.57坪）（壁芯）,5.4m2,2LDK,1981年10月,0,0
