price,name,address,ward,line_station,line,station,bus_time,walk_time,area,balcony,floor_plan,age,renovation,reform
1億5300万円,パーク・コート恵比寿ヒルトップレジデンス～JR山手線…,東京都渋谷区恵比寿南２,渋谷区,ＪＲ山手線「恵比寿」徒歩6分,ＪＲ山手線,恵比寿,0,6,77.93m2（23.57坪）（壁芯）,11.72m2,2LDK+S（納戸）,2000年10月,0,0
1680万円,パレ・ドール日本橋Ⅱ・SOHO可・リフォーム完成！,東京都中央区日本橋小舟町,中央区,都営浅草線「人形町」徒歩5分,都営浅草線,人形町,0,5,21.2m2（壁芯）,3.9m2,ワンルーム,1981年1月,0,1
1680万円,サンパレス新宿,東京都新宿区西新宿８,新宿区,東京メトロ丸ノ内線「西新宿」徒歩2分,東京メトロ丸ノ内線,西新宿,0,2,18.85m2（5.70坪）（壁芯）,2.4m2,ワンルーム,1981年3月,0,0
1690万円,ダイアパレス幡ヶ谷,東京都渋谷区幡ヶ谷２,渋谷区,京王線「笹塚」徒歩6分,京王線,笹塚,0,6,21m2（壁芯）,2.15m2,ワンルーム,1984年10月,0,0
2480万円,朝日関口マンション,東京都文京区関口１-24-6,文京区,東京メトロ有楽町線「江戸川橋」徒歩3分,東京メトロ有楽町線,江戸川橋,0,3,28.58m2（壁芯）,2.3m2,1DK,1982年11月,0,0
2480万円,シャンボール文京,東京都文京区千石２-１９－４,文京区,都営三田線「千石」徒歩10分,都営三田線,千石,0,10,27.3m2（壁芯）,3.9m2,1DK,1971年3月,1,0
2490万円,南青山コンド,東京都港区南青山２,港区,東京メトロ銀座線「青山一丁目」徒歩4分,東京メトロ銀座線,青山一丁目,0,4,24.33m2（壁芯）,3.24m2,ワンルーム,1972年8月,0,0
2599万円,ローゼ下落合,東京都新宿区下落合４-6-12,新宿区,西武新宿線「下落合」徒歩5分,西武新宿線,下落合,0,5,47.7m2（14.42坪）（壁芯）,2.34m2,2LDK,1981年6月,0,0
2880万円,【上質リノベ×駅徒歩２分】 最上階につき眺望良好♪初…,東京都渋谷区本町１,渋谷区,京王新線「初台」徒歩2分,京王新線,初台,0,2,35.05m2（壁芯）,6.48m2,1LDK,1972年9月,0,0
2880万円,【湯島永谷マンション】千代田線「湯島」駅２分の立地！…,東京都文京区湯島３,文京区,東京メトロ千代田線「湯島」徒歩2分,東京メトロ千代田線,湯島,0,2,36.04m2,-,1LDK,1973年9月,0,0
2890万円,中野坂上マンション,東京都渋谷区本町３,渋谷区,都営大江戸線「西新宿五丁目」徒歩5分,都営大江戸線,西新宿五丁目,0,5,35.72m2,3.36m2,1LDK,1970年5月,0,0
2899万円,駒込サマリヤマンション,東京都文京区本駒込３-３１－２,文京区,東京メトロ南北線「本駒込」徒歩8分,東京メトロ南北線,本駒込,0,8,38.11m2（壁芯）,2.15m2,1LDK,1983年3月,0,0
2980万円,パイロットハウス北新宿,東京都新宿区北新宿３-22-10,新宿区,ＪＲ中央線「東中野」徒歩8分,ＪＲ中央線,東中野,0,8,33.05m2（9.99坪）（壁芯）,5.27m2,2K,1978年9月,0,0
2980万円,エスポワール市ヶ谷,東京都新宿区富久町8-19,新宿区,都営新宿線「曙橋」徒歩6分,都営新宿線,曙橋,0,6,35.23m2（10.65坪）,2.96m2,2DK,1979年6月,0,0
2980万円,エスポワール市ヶ谷,東京都新宿区富久町,新宿区,都営新宿線「曙橋」徒歩6分,都営新宿線,曙橋,0,6,35.23m2（壁芯）,2.96m2,2K,1979年6月,1,0
2990万円,神楽坂サニーマンション,東京都文京区関口１-1-5,文京区,東京メトロ有楽町線「江戸川橋」徒歩2分,東京メトロ有楽町線,江戸川橋,0,2,38.25m2（壁芯）,12.32m2,1LDK,1970年7月,0,0
3000万円,ヴェルドミール柳橋,東京都中央区東日本橋２-28-8,中央区,ＪＲ総武線快速「馬喰町」徒歩4分,ＪＲ総武線快速,馬喰町,0,4,37.32m2（11.28坪）,-,1LDK,1978年7月,0,0
3199万円,広尾ハイツ,東京都渋谷区広尾５,渋谷区,東京メトロ日比谷線「広尾」徒歩4分,東京メトロ日比谷線,広尾,0,4,37.35m2（壁芯）,4.67m2,1LDK,1970年4月,0,0
3199万円,明石町アビタシオン・オオタ,東京都中央区明石町13-17,中央区,東京メトロ日比谷線「築地」徒歩7分,東京メトロ日比谷線,築地,0,7,40.38m2（12.21坪）,4.53m2,1LDK,1981年4月,0,0
3280万円,マンションヴィップ落合,東京都新宿区高田馬場３-18-2,新宿区,ＪＲ山手線「高田馬場」徒歩10分,ＪＲ山手線,高田馬場,0,10,48.32m2（14.61坪）,8.77m2,1LDK,1970年7月,0,0
3280万円,パラスト市ヶ谷,東京都新宿区市谷台町,新宿区,都営新宿線「曙橋」徒歩2分,都営新宿線,曙橋,0,2,42.86m2,8.58m2,ワンルーム,1980年3月,1,0
3280万円,ニューハイム早稲田,東京都新宿区西早稲田２,新宿区,東京メトロ副都心線「西早稲田」徒歩5分,東京メトロ副都心線,西早稲田,0,5,48.18m2（壁芯）,-,2DK,1975年1月,0,0
3280万円,落合マンション,東京都新宿区上落合２,新宿区,都営大江戸線「中井」徒歩4分,都営大江戸線,中井,0,4,41.13m2（登記）,4m2,1LDK,1972年2月,0,0
3280万円,目白台コーポ,東京都文京区目白台１-7-5,文京区,都電荒川線「早稲田」徒歩5分,都電荒川線,早稲田,0,5,41.08m2（登記）,6.37m2,2DK,1970年5月,1,0
3380万円,エクセルハイム恵比寿,東京都渋谷区東３,渋谷区,ＪＲ山手線「恵比寿」徒歩4分,ＪＲ山手線,恵比寿,0,4,30.54m2（壁芯）,1.98m2,1DK,1977年9月,0,0
3380万円,トダカ勝鬨コーポ,東京都中央区勝どき４,中央区,都営大江戸線「勝どき」徒歩3分,都営大江戸線,勝どき,0,3,43.74m2（壁芯）,3.24m2,2DK,1973年9月,1,0
3380万円,マリンシティダイヤモンドパレス,東京都港区海岸３-19-2,港区,ＪＲ山手線「田町」徒歩14分,ＪＲ山手線,田町,0,14,39.5m2（11.94坪）,6.55m2,1LDK,1980年3月,0,0
3380万円,渋谷マンション,東京都渋谷区鶯谷町7-1,渋谷区,ＪＲ山手線「渋谷」徒歩6分,ＪＲ山手線,渋谷,0,6,35.18m2（10.64坪）（登記）,3.6m2,1K+S（納戸）,1971年4月,0,0
3380万円,赤坂グリーンハイツ,東京都港区赤坂２,港区,東京メトロ千代田線「赤坂」徒歩6分,東京メトロ千代田線,赤坂,0,6,30.37m2（壁芯）,2.94m2,1DK,1976年4月,1,0
3399万円,藤和西新宿コープ,東京都新宿区西新宿４,新宿区,京王新線「初台」徒歩8分,京王新線,初台,0,8,31.05m2（壁芯）,4.95m2,1LDK,1981年9月,0,0
3480万円,リレント日本橋,東京都中央区日本橋馬喰町１,中央区,ＪＲ総武線快速「馬喰町」徒歩1分,ＪＲ総武線快速,馬喰町,0,1,41.85m2（壁芯）,6.36m2,1DK,1980年4月,1,0
3480万円,リレント日本橋,東京都中央区日本橋馬喰町１-13-8,中央区,ＪＲ総武線快速「馬喰町」徒歩1分,ＪＲ総武線快速,馬喰町,0,1,41.85m2（12.65坪）,6.36m2,1DK,1980年4月,0,0
3480万円,田町東豊エステート,東京都港区芝浦２,港区,ＪＲ山手線「田町」徒歩10分,ＪＲ山手線,田町,0,10,43.85m2（壁芯）,3.69m2,1LDK,1979年4月,0,0
3480万円,ライオンズマンション代々木公園第二,東京都渋谷区富ヶ谷１,渋谷区,東京メトロ千代田線「代々木公園」徒歩7分,東京メトロ千代田線,代々木公園,0,7,34.18m2,-,1LDK,1979年8月,0,1
3480万円,【エスコート早稲田】「早稲田」駅４分　専有３６.５１…,東京都新宿区弁天町,新宿区,東京メトロ東西線「早稲田」徒歩4分,東京メトロ東西線,早稲田,0,4,36.51m2（11.04坪）,7.5m2,1LDK,2001年3月,0,0
3490万円,マンションヴィップ落合,東京都新宿区高田馬場３-18-2,新宿区,ＪＲ山手線「高田馬場」徒歩9分,ＪＲ山手線,高田馬場,0,9,48.64m2（14.71坪）,13.19m2,2LDK,1970年7月,0,0
3490万円,■ＡＣＣＥＳＳ幡ヶ谷■駅徒歩4分×リノベ済×アフター…,東京都渋谷区幡ヶ谷２,渋谷区,京王新線「幡ヶ谷」徒歩4分,京王新線,幡ヶ谷,0,4,37.19m2（壁芯）,5m2,1LDK,1977年7月,0,0
3490万円,東海文京マンション,東京都文京区関口１-16-1,文京区,東京メトロ有楽町線「江戸川橋」徒歩2分,東京メトロ有楽町線,江戸川橋,0,2,35.62m2（10.77坪）,4.5m2,1LDK,1983年3月,0,0
3490万円,コーポラス幡ヶ谷,東京都渋谷区幡ヶ谷２,渋谷区,京王線「笹塚」徒歩7分,京王線,笹塚,0,7,36.56m2（壁芯）,1.75m2,1DK,1979年7月,1,0
3499万円,オーヒロローズハイツ,東京都中央区日本橋横山町3-8,中央区,都営新宿線「馬喰横山」徒歩1分,都営新宿線,馬喰横山,0,1,48.18m2（14.57坪）（壁芯）,5.64m2,2LDK,1981年4月,0,0
3499万円,ジュウエル下落合,東京都新宿区下落合４-15-3,新宿区,西武新宿線「下落合」徒歩6分,西武新宿線,下落合,0,6,43.29m2（13.09坪）,14.09m2,1LDK,1979年5月,0,0
3499万円,フレンドハイツ高田馬場,東京都新宿区高田馬場４-31-2,新宿区,ＪＲ山手線「高田馬場」徒歩7分,ＪＲ山手線,高田馬場,0,7,50.81m2（15.36坪）（壁芯）,3.05m2,2LDK,1980年2月,0,0
3500万円,ペガサスマンション若松町,東京都新宿区若松町9-16,新宿区,都営大江戸線「若松河田」徒歩2分,都営大江戸線,若松河田,0,2,43.52m2（壁芯）,3.48m2,2DK,1982年12月,0,0
3540万円,フィールＭ西新宿,東京都新宿区西新宿５,新宿区,都営大江戸線「西新宿五丁目」徒歩1分,都営大江戸線,西新宿五丁目,0,1,36.51m2（11.04坪）（壁芯）,6.4m2,1LDK,2003年9月,0,0
3580万円,中銀八丁堀マンシオン,東京都中央区八丁堀４-13-14,中央区,東京メトロ日比谷線「八丁堀」徒歩3分,東京メトロ日比谷線,八丁堀,0,3,43.79m2（13.24坪）,-,2DK,1978年4月,0,0
3580万円,御苑パビリオン,東京都渋谷区千駄ヶ谷５-14－14,渋谷区,ＪＲ山手線「代々木」徒歩3分,ＪＲ山手線,代々木,0,3,41.8m2（12.64坪）,6.6m2,1LDK,1969年10月,0,0
3580万円,ヴェラハイツ日本橋箱崎,東京都中央区日本橋箱崎町,中央区,東京メトロ半蔵門線「水天宮前」徒歩3分,東京メトロ半蔵門線,水天宮前,0,3,48.96m2（壁芯）,5.06m2,2LDK,1982年8月,0,0
3580万円,目白台コーポ,東京都文京区目白台１-7-5,文京区,東京メトロ副都心線「雑司が谷」徒歩10分,東京メトロ副都心線,雑司が谷,0,10,41.08m2（登記）,6.52m2,2DK,1970年5月,0,1
3580万円,エスコート早稲田,東京都新宿区弁天町,新宿区,東京メトロ東西線「早稲田」徒歩4分,東京メトロ東西線,早稲田,0,4,31.61m2（9.56坪）（壁芯）,6.6m2,1DK,2001年3月,0,1
3599万円,ライオンズマンション桔梗,東京都新宿区余丁町,新宿区,都営大江戸線「若松河田」徒歩5分,都営大江戸線,若松河田,0,5,50.83m2（壁芯）,3.24m2,1LDK+S（納戸）,1979年5月,1,0
3680万円,オリエンタル新宿コーポラス,東京都新宿区西新宿４-8-4,新宿区,都営大江戸線「西新宿五丁目」徒歩7分,都営大江戸線,西新宿五丁目,0,7,45.49m2（壁芯）,6.6m2,ワンルーム,1970年7月,0,0
3680万円,カルム第２赤坂,東京都港区赤坂９-２－６,港区,東京メトロ千代田線「乃木坂」徒歩5分,東京メトロ千代田線,乃木坂,0,5,34.83m2（壁芯）,2.43m2,1LDK,1978年8月,0,1
3680万円,ベネヴィータ市ヶ谷銀杏坂,東京都新宿区市谷薬王寺町,新宿区,都営大江戸線「牛込柳町」徒歩5分,都営大江戸線,牛込柳町,0,5,31.34m2（9.48坪）（壁芯）,3.04m2,1DK,2003年11月,0,0
3688万円,築地武蔵野マンション,東京都中央区築地３,中央区,東京メトロ有楽町線「新富町」徒歩2分,東京メトロ有楽町線,新富町,0,2,40.28m2（12.18坪）（壁芯）,5m2,1LDK,1971年9月,0,1
3690万円,プチモンド四谷,東京都新宿区荒木町,新宿区,都営新宿線「曙橋」徒歩2分,都営新宿線,曙橋,0,2,33.97m2（10.27坪）,6.5m2,1LDK,1979年8月,0,0
3760万円,モナークマンション大久保,東京都新宿区大久保２-1-11,新宿区,都営大江戸線「東新宿」徒歩2分,都営大江戸線,東新宿,0,2,40.88m2（壁芯）,2.61m2,2DK,1984年8月,0,0
3780万円,オーベル早稲田,東京都新宿区若松町,新宿区,都営大江戸線「若松河田」徒歩2分,都営大江戸線,若松河田,0,2,47.78m2（壁芯）,3.37m2,1LDK,1988年2月,0,0
3880万円,朝日高輪マンション,東京都港区高輪２,港区,都営浅草線「高輪台」徒歩7分,都営浅草線,高輪台,0,7,31.72m2（壁芯）,3.84m2,1DK,1984年3月,1,0
3950万円,グランコピエ広尾,東京都渋谷区恵比寿２,渋谷区,東京メトロ日比谷線「広尾」徒歩9分,東京メトロ日比谷線,広尾,0,9,35.39m2（壁芯）,3.84m2,ワンルーム,2001年4月,0,0
3980万円,後楽園マンション,東京都文京区春日１-6-1,文京区,東京メトロ丸ノ内線「後楽園」徒歩8分,東京メトロ丸ノ内線,後楽園,0,8,59.84m2（18.10坪）（登記）,-,2LDK,1969年1月,0,0
3980万円,シティコープ茗荷谷,東京都文京区小日向１-２６－５,文京区,東京メトロ丸ノ内線「茗荷谷」徒歩3分,東京メトロ丸ノ内線,茗荷谷,0,3,43.67m2（壁芯）,7.05m2,1LDK,1982年2月,1,0
