price,name,address,ward,line_station,line,station,bus_time,walk_time,area,balcony,floor_plan,age,renovation,reform
1560万円,≪平日 内見会 開催中≫練馬駅徒歩７分！豊玉第一コー…,東京都練馬区豊玉北６-23-6,練馬区,西武池袋線「練馬」徒歩7分,西武池袋線,練馬,0,7,34.02m2（壁芯）,-,2DK,1964年4月,0,0
1600万円,南阿佐ヶ谷シティハウス,東京都杉並区成田東５-34-14,杉並区,東京メトロ丸ノ内線「南阿佐ケ谷」徒歩5分,東京メトロ丸ノ内線,南阿佐ケ谷,0,5,18m2（壁芯）,3.9m2,1K,1989年10月,0,0
1780万円,江古田ローヤルコーポ,東京都練馬区豊玉北１,練馬区,都営大江戸線「新江古田」徒歩3分,都営大江戸線,新江古田,0,3,30.91m2（壁芯）,2.5m2,1DK,1972年12月,0,0
1880万円,アイビス西荻,東京都杉並区西荻南２,杉並区,ＪＲ中央線「西荻窪」徒歩8分,ＪＲ中央線,西荻窪,0,8,27.6m2（壁芯）,3.45m2,1DK,1971年5月,0,0
1977万円,鷺宮プリンスマンション←弊社売主！最上階！提案型リフ…,東京都中野区鷺宮５-6-21,中野区,西武新宿線「鷺ノ宮」徒歩8分,西武新宿線,鷺ノ宮,0,8,40.14m2（壁芯）,3.24m2,2DK,1977年9月,0,1
1980万円,ライオンズマンション豊玉第二,東京都練馬区豊玉北６,練馬区,西武池袋線「練馬」徒歩7分,西武池袋線,練馬,0,7,36.48m2（壁芯）,3.75m2,2DK,1980年2月,1,0
1980万円,ニュー中野マンション,東京都中野区中野５-24－20,中野区,ＪＲ中央線「中野」徒歩9分,ＪＲ中央線,中野,0,9,29.16m2（壁芯）,3.24m2,1DK,1972年8月,0,0
2080万円,グリーンマンション,東京都杉並区西荻北３,杉並区,ＪＲ中央線「西荻窪」徒歩8分,ＪＲ中央線,西荻窪,0,8,42.16m2,8.2m2,2DK,1971年3月,0,0
2250万円,豊玉第二コーポラス,東京都練馬区豊玉北６,練馬区,西武池袋線「練馬」徒歩8分,西武池袋線,練馬,0,8,47.68m2（14.42坪）（壁芯）,-,3DK,1970年2月,0,1
2280万円,石神井ゴールデンハイツ,東京都練馬区石神井町７,練馬区,西武池袋線「石神井公園」徒歩11分,西武池袋線,石神井公園,0,11,60.8m2,2.75m2,1LDK,1981年4月,0,0
2280万円,石神井ゴールデンハイツ,東京都練馬区石神井町７,練馬区,西武池袋線「石神井公園」徒歩11分,西武池袋線,石神井公園,0,11,60.8m2,2.75m2,1LDK,1981年4月,0,0
2280万円,石神井ゴールデンハイツ,東京都練馬区石神井町７-33-28,練馬区,西武池袋線「石神井公園」徒歩11分,西武池袋線,石神井公園,0,11,60.8m2（18.39坪）（壁芯）,2.75m2,1LDK,1981年4月,0,0
2380万円,キャニオンマンション石神井台,東京都練馬区関町北４-35-26,練馬区,西武新宿線「武蔵関」徒歩6分,西武新宿線,武蔵関,0,6,44.17m2（壁芯）,3.18m2,2DK,1983年6月,0,0
2380万円,上萩ハイホーム,東京都杉並区上荻３,杉並区,ＪＲ中央線「西荻窪」徒歩13分,ＪＲ中央線,西荻窪,0,13,47.88m2,-,2LDK,1970年9月,0,0
2399万円,集成第一マンション,東京都杉並区上高井戸１,杉並区,京王線「芦花公園」徒歩5分,京王線,芦花公園,0,5,50.32m2,4.72m2,2LDK,1973年11月,1,0
2399万円,集成第一マンション,東京都杉並区上高井戸１,杉並区,京王線「芦花公園」徒歩5分,京王線,芦花公園,0,5,50.32m2（壁芯）,4.72m2,2LDK,1973年11月,1,0
2399万円,方南町セントラルマンション,東京都杉並区方南２,杉並区,東京メトロ丸ノ内線「方南町」徒歩3分,東京メトロ丸ノ内線,方南町,0,3,32.2m2（壁芯）,2m2,1LDK,1972年10月,0,0
2480万円,ライオンズマンション方南台,東京都杉並区方南２-4-7,杉並区,東京メトロ丸ノ内線「方南町」徒歩4分,東京メトロ丸ノ内線,方南町,0,4,38.91m2（壁芯）,4.68m2,1LDK,1975年9月,1,0
2490万円,ヴィラ江古田,東京都練馬区豊玉上１,練馬区,西武池袋線「江古田」徒歩3分,西武池袋線,江古田,0,3,37.3m2,9.6m2,1DK,1972年2月,0,0
2499万円,富士見台ファミリーマンション,東京都練馬区貫井１,練馬区,西武池袋線「富士見台」徒歩6分,西武池袋線,富士見台,0,6,40m2（12.09坪）（壁芯）,4.6m2,1LDK,1972年10月,0,0
2580万円,日興マンション新中野,東京都中野区中央４-2-3,中野区,東京メトロ丸ノ内線「新中野」徒歩1分,東京メトロ丸ノ内線,新中野,0,1,45.96m2（壁芯）,5.4m2,1LDK,1971年3月,0,0
2580万円,久我山ニューハウジング,東京都杉並区久我山５-7-10,杉並区,京王井の頭線「久我山」徒歩2分,京王井の頭線,久我山,0,2,39.72m2（登記）,3.84m2,1LDK,1971年3月,1,0
2590万円,キャニオンマンション石神井台,東京都練馬区関町北４,練馬区,西武新宿線「武蔵関」徒歩6分,西武新宿線,武蔵関,0,6,46.08m2（壁芯）,5.19m2,2LDK,1983年6月,1,0
2600万円,三田中村橋コーポ,東京都練馬区貫井１,練馬区,西武池袋線「中村橋」徒歩3分,西武池袋線,中村橋,0,3,49.69m2,4.5m2,2LDK,1977年6月,0,1
2680万円,中野本町団地,東京都中野区本町４,中野区,東京メトロ丸ノ内線「新中野」徒歩1分,東京メトロ丸ノ内線,新中野,0,1,56.42m2（登記）,-,2LDK,1964年12月,0,0
2690万円,メゾン第３大泉,東京都練馬区西大泉１,練馬区,西武池袋線「大泉学園」徒歩12分,西武池袋線,大泉学園,0,12,56.7m2（壁芯）,4m2,2LDK,1984年12月,0,0
2780万円,セブンスターマンション東中野,東京都中野区東中野４-27-27,中野区,東京メトロ東西線「落合」徒歩1分,東京メトロ東西線,落合,0,1,40.32m2（12.19坪）（壁芯）,4.5m2,2DK,1970年5月,0,0
2880万円,バロネス荻窪,東京都杉並区荻窪５-11-1,杉並区,ＪＲ中央線「荻窪」徒歩5分,ＪＲ中央線,荻窪,0,5,35.64m2（10.78坪）,4.05m2,1LDK,1989年2月,0,0
2890万円,パラシオン荻窪,東京都杉並区上荻１-25-1,杉並区,ＪＲ中央線「荻窪」徒歩6分,ＪＲ中央線,荻窪,0,6,43.02m2（13.01坪）,3.59m2,1LDK,1974年12月,0,0
2980万円,中野オリンピックマンション,東京都中野区上高田２-40-8,中野区,ＪＲ中央線「中野」徒歩11分,ＪＲ中央線,中野,0,11,36.43m2（壁芯）,6.48m2,2DK,1979年6月,1,0
2980万円,マンションワコー落合,東京都中野区上高田４,中野区,都営大江戸線「中井」徒歩9分,都営大江戸線,中井,0,9,47.89m2（14.48坪）（壁芯）,7.05m2,1LDK,1970年1月,0,1
3180万円,桜台コーポ,東京都練馬区豊玉北５,練馬区,西武池袋線「桜台」徒歩6分,西武池袋線,桜台,0,6,51.67m2（壁芯）,7.42m2,2LDK,1969年12月,0,0
3180万円,桜台コーポ,東京都練馬区豊玉北３-1-2,練馬区,西武池袋線「桜台」徒歩6分,西武池袋線,桜台,0,6,51.67m2（15.63坪）,7.42m2,2LDK,1969年12月,0,0
3200万円,秀和豊玉レジデンス,東京都練馬区豊玉北２-4-11,練馬区,都営大江戸線「新江古田」徒歩4分,都営大江戸線,新江古田,0,4,48.68m2（14.72坪）,4.93m2,2LDK,1970年10月,0,0
3280万円,塔の山ハイツ,東京都中野区中央１,中野区,都営大江戸線「中野坂上」徒歩3分,都営大江戸線,中野坂上,0,3,40.5m2（壁芯）,3.99m2,1LDK,1971年7月,1,0
3280万円,カーサ豊玉,東京都練馬区豊玉中２,練馬区,西武池袋線「練馬」徒歩10分,西武池袋線,練馬,0,10,44.1m2,20.46m2,1LDK,1973年9月,0,0
3280万円,富士見台マンション,東京都練馬区貫井１-29-10,練馬区,西武池袋線「富士見台」徒歩4分,西武池袋線,富士見台,0,4,53.01m2（壁芯）,6.62m2,1LDK,1973年10月,1,0
3299万円,毛利ビル,東京都中野区中央１-35-1,中野区,東京メトロ丸ノ内線「中野坂上」徒歩3分,東京メトロ丸ノ内線,中野坂上,0,3,40.7m2（12.31坪）,-,1LDK,1974年1月,0,0
3299万円,富士見ヶ丘永谷コーポラス,東京都杉並区高井戸西３,杉並区,京王井の頭線「富士見ヶ丘」徒歩7分,京王井の頭線,富士見ヶ丘,0,7,48.6m2,5.81m2,2LDK,1977年5月,1,0
3380万円,ライオンズマンション南大泉,東京都練馬区南大泉４,練馬区,西武池袋線「保谷」徒歩9分,西武池袋線,保谷,0,9,55m2（壁芯）,6.6m2,2LDK,1983年9月,0,1
3490万円,シュロス中野,東京都中野区弥生町５,中野区,東京メトロ丸ノ内線「中野富士見町」徒歩4分,東京メトロ丸ノ内線,中野富士見町,0,4,35.12m2（10.62坪）（壁芯）,3.3m2,1LDK,2004年6月,0,0
3499万円,レヴィーガ練馬春日町駅前,東京都練馬区春日町６-5-25,練馬区,都営大江戸線「練馬春日町」徒歩2分,都営大江戸線,練馬春日町,0,2,40.5m2（壁芯）,6.54m2,1LDK,2006年6月,0,0
3499万円,ルミエール東中野,東京都中野区東中野１-36-12,中野区,ＪＲ中央線「東中野」徒歩3分,ＪＲ中央線,東中野,0,3,40.06m2（12.11坪）,4.2m2,1LDK,1983年8月,0,0
3500万円,桜上水マンション,東京都杉並区下高井戸２-10-6,杉並区,京王線「桜上水」徒歩5分,京王線,桜上水,0,5,50.44m2（壁芯）,5.77m2,2LDK,1978年2月,0,0
3580万円,ラインビルド中野,東京都中野区新井４-30－4,中野区,西武新宿線「沼袋」徒歩4分,西武新宿線,沼袋,0,4,49.06m2（14.84坪）,-,2DK,1982年9月,1,0
3580万円,パシフィック松が丘,東京都中野区松が丘１-30－8,中野区,西武新宿線「新井薬師前」徒歩8分,西武新宿線,新井薬師前,0,8,69.16m2（20.92坪）（壁芯）,-,3LDK,1975年1月,0,0
