price,name,address,ward,line_station,line,station,bus_time,walk_time,area,balcony,floor_plan,age,renovation,reform
2749万円,大森サンハイツ,東京都品川区南大井３-30-1,品川区,京急本線「大森海岸」徒歩2分,京急本線,大森海岸,0,2,32.4m2（9.80坪）（壁芯）,4.32m2,1DK,1973年5月,1,0
2780万円,セブンスターマンション第５大森,東京都品川区南大井６,品川区,ＪＲ京浜東北線「大森」徒歩2分,ＪＲ京浜東北線,大森,0,2,44.05m2（壁芯）,2.94m2,2DK,1975年8月,0,0
2780万円,ワールドパレス第二戸越,東京都品川区戸越１-19-6,品川区,都営浅草線「戸越」徒歩5分,都営浅草線,戸越,0,5,31.84m2（9.63坪）,3.89m2,1LDK,1983年4月,0,0
2780万円,祐天寺コーポラス,東京都世田谷区下馬４-29-5,世田谷区,東急東横線「祐天寺」徒歩10分,東急東横線,祐天寺,0,10,48.8m2（14.76坪）（壁芯）,-,1LDK,1967年9月,0,0
2780万円,エクセレンス東松原,東京都世田谷区松原５,世田谷区,京王井の頭線「東松原」徒歩2分,京王井の頭線,東松原,0,2,29.8m2（壁芯）,6.96m2,1DK,1996年2月,0,0
2780万円,ニックハイム京浜蒲田第2,東京都大田区仲六郷１-57-6,大田区,京急本線「京急蒲田」徒歩8分,京急本線,京急蒲田,0,8,43.2m2（壁芯）,4.5m2,1DK,1979年3月,0,0
2788万円,セブンスターマンション洗足池,東京都大田区上池台２,大田区,東急池上線「洗足池」徒歩3分,東急池上線,洗足池,0,3,41.58m2（壁芯）,8.1m2,1LDK,1971年9月,0,0
2790万円,ステージ仙台坂Ｂ棟,東京都品川区東大井３,品川区,ＪＲ京浜東北線「大井町」徒歩7分,ＪＲ京浜東北線,大井町,0,7,34.77m2（壁芯）,-,1DK,1973年5月,1,0
2798万円,【駅１分×リフォーム済×角部屋】安心の新耐震基準です…,東京都大田区南久が原２,大田区,東急池上線「久が原」徒歩1分,東急池上線,久が原,0,1,45.01m2（壁芯）,-,1LDK,1984年11月,0,0
2798万円,ニックハイム上池台,東京都大田区上池台５-6-1,大田区,東急池上線「長原」徒歩12分,東急池上線,長原,0,12,48.94m2（壁芯）,2.63m2,1LDK,1973年5月,0,0
2799万円,五反田マンション,東京都品川区東五反田３,品川区,都営浅草線「高輪台」徒歩3分,都営浅草線,高輪台,0,3,52.69m2（壁芯）,-,1LDK,1967年8月,0,0
2799万円,ライオンズマンション蒲田第２,東京都大田区西蒲田６,大田区,東急池上線「蓮沼」徒歩3分,東急池上線,蓮沼,0,3,30.44m2（壁芯）,2.17m2,1DK,1989年3月,1,0
2880万円,フドウ学芸大ハイツ　4階,東京都目黒区目黒本町２,目黒区,東急東横線「学芸大学」徒歩14分,東急東横線,学芸大学,0,14,36.5m2（壁芯）,2.97m2,1LDK,1983年9月,0,1
2880万円,コスモ大森,東京都大田区大森北６,大田区,京急本線「平和島」徒歩7分,京急本線,平和島,0,7,39.45m2（11.93坪）（壁芯）,2.76m2,1LDK,1989年8月,0,0
2880万円,ローヤルマンション戸越,東京都品川区平塚２-11-16,品川区,東急池上線「戸越銀座」徒歩4分,東急池上線,戸越銀座,0,4,39.95m2（壁芯）,6.37m2,2K,1973年2月,0,0
2880万円,アマヴェル羽田空港,東京都大田区萩中２-11-9,大田区,京急空港線「糀谷」徒歩8分,京急空港線,糀谷,0,8,33.89m2（壁芯）,2.53m2,1DK,2008年1月,0,0
2880万円,秀和南大井レジデンス,東京都品川区南大井５,品川区,京急本線「立会川」徒歩5分,京急本線,立会川,0,5,40.5m2（壁芯）,4.72m2,1DK,1980年12月,0,0
2880万円,メゾン・ド・山王,東京都大田区山王１,大田区,ＪＲ京浜東北線「大森」徒歩5分,ＪＲ京浜東北線,大森,0,5,50.32m2（壁芯）,13.66m2,1LDK,1970年2月,0,1
2880万円,北千束アイレ,東京都大田区北千束２,大田区,東急大井町線「北千束」徒歩3分,東急大井町線,北千束,0,3,52.45m2（壁芯）,13.69m2,2DK,1970年5月,0,1
2880万円,セザール長原ガーデン,東京都大田区中馬込１,大田区,都営浅草線「馬込」徒歩9分,都営浅草線,馬込,0,9,31.05m2（壁芯）,2.82m2,1K,2009年3月,0,0
2890万円,ニューハイツ大森,東京都品川区南大井６,品川区,ＪＲ京浜東北線「大森」徒歩6分,ＪＲ京浜東北線,大森,0,6,31.84m2（9.63坪）（壁芯）,4.51m2,1LDK,1975年8月,0,0
2899万円,シャトレー西蒲田,東京都大田区西蒲田８,大田区,ＪＲ京浜東北線「蒲田」徒歩3分,ＪＲ京浜東北線,蒲田,0,3,35.72m2（壁芯）,-,1LDK,1978年8月,1,0
2930万円,ニュー奥沢ハイツ,東京都世田谷区奥沢１,世田谷区,東急目黒線「奥沢」徒歩11分,東急目黒線,奥沢,0,11,44.05m2（壁芯）,2.9m2,2DK,1972年9月,0,0
2948万円,北千束第二コーポラス,東京都大田区北千束２-18-3,大田区,東急大井町線「北千束」徒歩4分,東急大井町線,北千束,0,4,45.56m2（13.78坪）,9.46m2,2DK,1969年2月,0,0
2948万円,北千束第二コーポラス,東京都大田区北千束２,大田区,東急大井町線「北千束」徒歩4分,東急大井町線,北千束,0,4,45.56m2（壁芯）,9.46m2,2DK,1969年2月,0,0
2980万円,セブンスターマンション西五反田,東京都品川区西五反田５-4-6,品川区,ＪＲ山手線「五反田」徒歩9分,ＪＲ山手線,五反田,0,9,34.85m2（壁芯）,1.98m2,1LDK,1982年6月,0,0
2980万円,ワールドパレス第２戸越,東京都品川区戸越１,品川区,都営浅草線「戸越」徒歩7分,都営浅草線,戸越,0,7,33.28m2（10.06坪）（壁芯）,2.16m2,1LDK,1983年4月,0,1
2980万円,【リフォーム×２面バルコニー】 ３階部分×角住戸につ…,東京都世田谷区成城３,世田谷区,小田急線「成城学園前」徒歩10分,小田急線,成城学園前,0,10,42.37m2（壁芯）,8.31m2,1LDK,1979年1月,0,0
2980万円,NK五反田コータース,東京都品川区大崎４-2-13,品川区,ＪＲ山手線「大崎」徒歩5分,ＪＲ山手線,大崎,0,5,35.17m2（壁芯）,4.5m2,1LDK,1971年11月,0,0
2980万円,第２桜新町ヒミコマンション,東京都世田谷区弦巻３-21-19,世田谷区,東急田園都市線「桜新町」徒歩9分,東急田園都市線,桜新町,0,9,38.64m2（11.68坪）（壁芯）,5.28m2,1LDK,1981年2月,1,0
2980万円,大森ローヤルコーポ,東京都大田区大森西２-25-5,大田区,京急本線「大森町」徒歩5分,京急本線,大森町,0,5,46.61m2（壁芯）,6.75m2,2LDK,1978年11月,0,0
2980万円,NK五反田コータース,東京都品川区大崎４,品川区,ＪＲ山手線「大崎」徒歩6分,ＪＲ山手線,大崎,0,6,35.17m2（壁芯）,4.5m2,1LDK,1971年11月,0,0
2990万円,【当社売主】シティプラザ蒲田,東京都大田区西蒲田７,大田区,ＪＲ京浜東北線「蒲田」徒歩2分,ＪＲ京浜東北線,蒲田,0,2,41.54m2（壁芯）,3.82m2,2DK,1982年7月,1,0
2990万円,シティプラザ蒲田,東京都大田区西蒲田７-5-14,大田区,ＪＲ京浜東北線「蒲田」徒歩2分,ＪＲ京浜東北線,蒲田,0,2,41.54m2（12.56坪）,3.82m2,2DK,1982年7月,0,0
2998万円,仲六郷ダイヤモンドマンション,東京都大田区仲六郷１-51-14,大田区,京急本線「雑色」徒歩5分,京急本線,雑色,0,5,47.92m2（壁芯）,5.6m2,1LDK,1982年9月,0,0
2998万円,都立大コーポラス,東京都目黒区緑が丘１,目黒区,東急東横線「都立大学」徒歩8分,東急東横線,都立大学,0,8,45.36m2（壁芯）,13.63m2,1LDK,1969年1月,0,0
2998万円,【リノベ×駅徒歩３分】エレベーター付き♪シャンボール…,東京都目黒区中根２,目黒区,東急東横線「都立大学」徒歩3分,東急東横線,都立大学,0,3,30.24m2（壁芯）,4.42m2,1LDK,1971年9月,0,0
2999万円,シャンボール上北沢,東京都世田谷区上北沢４-19-12,世田谷区,京王線「上北沢」徒歩4分,京王線,上北沢,0,4,40.5m2（12.25坪）（壁芯）,4.5m2,1LDK,1970年10月,0,0
2999万円,マンション仙台坂カトレア,東京都品川区東大井５-9-7,品川区,ＪＲ京浜東北線「大井町」徒歩6分,ＪＲ京浜東北線,大井町,0,6,32.3m2（9.77坪）（壁芯）,-,1LDK,1971年8月,0,0
3080万円,マートルコート松原,東京都世田谷区松原３,世田谷区,京王線「下高井戸」徒歩1分,京王線,下高井戸,0,1,37.58m2（壁芯）,5.69m2,2DK,1984年4月,0,0
3130万円,東建品川南ハイツ,東京都品川区勝島１-6-40,品川区,京急本線「立会川」徒歩9分,京急本線,立会川,0,9,45.36m2（13.72坪）,1m2,2LDK,1983年11月,0,0
